distance_in_meters,duration_in_seconds,pickup_in_meters,pickup_in_seconds,driver_rating,order_hour,order_wday,order_month,driver_experience_days,price_start_local,price_bid_local
0,0,676,96,4.93731,0,0,6,706,150,200
0,0,691,98,4.99435,0,0,6,531,150,200
0,0,1638,246,4.93731,0,0,6,706,200,250
0,0,639,89,4.99435,0,0,6,531,150,200
10654,966,1343,207,4.99435,0,0,6,531,400,490
2953,375,1469,201,5.0,0,0,6,256,150,250
15137,1207,1420,237,4.96821,0,0,6,255,400,500
2953,375,881,159,5.0,0,0,6,-552,200,250
0,0,1151,167,4.93731,0,0,6,706,150,200
1797,236,71,13,4.98119,0,0,6,37,200,200
0,0,78,16,4.99523,0,0,6,728,250,330
0,0,2703,411,5.0,0,0,6,256,250,250
915,186,891,176,4.99523,0,0,6,728,200,250
915,186,738,138,4.93731,0,0,6,706,200,250
7883,835,1709,249,4.99523,0,0,6,728,300,530
1618,308,667,98,4.98119,0,0,6,37,150,200
2198,304,973,165,4.99523,0,0,6,728,240,300
1648,237,798,165,4.99523,0,0,6,728,200,250
1648,237,650,128,4.93731,0,0,6,706,200,250
2198,304,1277,170,4.99523,0,0,6,728,260,350
2198,304,1277,222,4.93731,0,0,6,706,260,350
8592,795,920,164,4.99435,0,0,6,531,350,480
0,0,3235,429,4.98119,0,0,6,37,1000,1300
16800,1133,796,105,4.96821,0,0,6,255,400,400
1470,168,365,54,4.93731,0,0,6,706,200,250
1403,202,1878,275,4.98119,0,0,6,37,150,200
0,0,817,84,4.93731,0,0,6,706,250,250
5225,568,2720,428,4.99435,0,0,6,531,300,400
2844,469,2358,367,4.99435,0,0,6,531,250,300
1586,214,1527,189,4.93731,0,0,6,706,150,250
8999,733,852,176,4.99435,1,0,6,531,300,440
0,0,960,141,4.93731,1,0,6,706,200,250
0,0,61,15,4.96821,1,0,6,255,200,200
7530,915,1381,206,4.96821,1,0,6,255,200,300
7019,877,706,143,4.99523,1,0,6,728,350,480
1769,223,1269,181,4.93731,1,0,6,706,200,250
0,0,557,118,4.99523,1,0,6,728,300,350
1543,211,1250,207,4.93731,1,0,6,706,190,250
